molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL2227929,COP(=O)(COC(=O)COc1cccc(C(F)(F)F)c1)OC,Pyruvate dehydrogenase complex,IC50,442000,Inhibition of PDHc in Pisum sativum Zhongwan-2 (pea) shoot mitochondria assessed as decrease in rate of NADH formation using sodium pyruvate as substrate preincubated for 25 min before substrate addition measured after 1 min by spectrophotometric assay,inactive,CHEMBL3049709
CHEMBL367623,O=C(O)COc1ccc(Cl)cc1Cl,Pyruvate dehydrogenase complex,IC50,4530000,Inhibition of PDHc in Pisum sativum Zhongwan-2 (pea) shoot mitochondria assessed as decrease in rate of NADH formation using sodium pyruvate as substrate preincubated for 25 min before substrate addition measured after 1 min by spectrophotometric assay,inactive,CHEMBL3049709
CHEMBL2289235,COP(=O)([O-])C(C)=O.[Na+],Pyruvate dehydrogenase complex,IC50,70000,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,inactive,CHEMBL3072453
CHEMBL2289471,COP(=O)([O-])C(=O)c1ccco1.[Na+],Pyruvate dehydrogenase complex,IC50,389000,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,inactive,CHEMBL3072453
CHEMBL2289470,COP(=O)([O-])C(O)c1ccco1.[Na+],Pyruvate dehydrogenase complex,IC50,4670000,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,inactive,CHEMBL3072453
CHEMBL2289465,COP(=O)(OC)C(OC(=O)COc1cccc(C(F)(F)F)c1)c1ccccn1,Pyruvate dehydrogenase complex,IC50,2300000,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,inactive,CHEMBL3072453
CHEMBL2227911,COP(=O)(OC)C(C)OC(=O)COc1ccc(Cl)cc1Cl,Pyruvate dehydrogenase complex,IC50,18190,Inhibition of PDHc in Pisum sativum Zhongwan-2 (pea) shoot mitochondria assessed as decrease in rate of NADH formation using sodium pyruvate as substrate preincubated for 25 min before substrate addition measured after 1 min by spectrophotometric assay,intermediate,CHEMBL3049709
CHEMBL2253413,COP(=O)([O-])C(OC(=O)COc1ccc(Cl)cc1Cl)c1ccco1.[Na+],Pyruvate dehydrogenase complex,IC50,6960,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,intermediate,CHEMBL3072453
CHEMBL2253447,COP(=O)(OC)C(OC(=O)COc1ccc(Cl)cc1Cl)c1ccco1,Pyruvate dehydrogenase complex,IC50,28250,Inhibition of Pisum sativum (pea) PDHc by spectrophotometric assay,intermediate,CHEMBL3072453
