molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1608436,CCn1c(N2CCN(S(=O)(=O)c3ccc(OC)cc3)CC2)nc2ccccc21,Mitochondrial import inner membrane translocase subunit TIM10,IC50,58000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1359112,CCOC(=O)c1ccc(NC(=O)CSc2nc(=O)n3cccc(C)c3n2)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,53600,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1458178,O=c1cc(C(Cl)(Cl)Cl)oc2c1ccc1ccccc12,Mitochondrial import inner membrane translocase subunit TIM10,IC50,63850,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1709744,CCCN(C(=O)c1ccc([N+](=O)[O-])c(C)c1)c1c(N)n(Cc2ccccc2)c(=O)[nH]c1=O,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1579264,CCN(CC)S(=O)(=O)c1ccc(C(=O)OCn2nnc3ccccc3c2=O)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1492357,Oc1ccccc1C1NN=C(c2ccccc2)S1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1401953,Cc1ccn2cc(C(=O)Nc3ccc4c(c3)OCCO4)nc2c1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,100000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1347563,Cc1ccc(Nc2nc(-c3cccnc3)nc3ccccc23)cc1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,65800,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1501937,COc1cc2c(cc1OC)/C(=C/c1ccc(Cl)cc1)C(=O)OC2,Mitochondrial import inner membrane translocase subunit TIM10,IC50,50900,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
CHEMBL1988926,O=C(N/N=C/C=C\c1ccco1)c1cccs1,Mitochondrial import inner membrane translocase subunit TIM10,IC50,70000,"PUBCHEM_BIOASSAY: Dose Response confirmation of uHTS small molecule inhibitors of tim23-1: a luminescent TIM10 yeast counterscreen. (Class of assay: confirmatory) [Related pubchem assays (depositor defined):AID463212, AID463216, AID493002]",inactive,CHEMBL1738512
