molecule_chembl_id,canonical_smiles,target_pref_name,standard_type,standard_value,assay_description,bioactivity_class,assay_chembl_id
CHEMBL1964510,Cc1ccc2nc(CSc3ncc(C(F)(F)F)cc3Cl)cc(=O)n2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,67370,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1964901,N/C(=N\OC(=O)c1ccc(Cl)cc1)c1cccc(CS(=O)(=O)c2ccccn2)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,50030,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1965201,O=C(CSCc1ccccc1)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1Oc1ccccc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1965501,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1cc(C(F)(F)F)ccc1Cl,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1986991,Cc1cc2cc(CNC(=O)c3ccc(F)c(F)c3)ccc2[nH]1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1988776,Cc1csc(NC(=O)c2sc3nc4c(cc3c2N)CN(C)CC4)n1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1580946,CCOc1ccc2nc(N3C(=O)CNC3=S)sc2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1385744,Cc1cc2cc(CNC(=O)c3ccc(S(=O)(=O)N4CCCCC4)cc3)ccc2[nH]1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,78700,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1410842,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(N2CCN(C(=O)C(C)C)CC2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1988067,Cc1ccc2nc(CSc3ccc4ccccc4n3)cc(=O)n2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,67220,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1968268,N/C(=N\OC(=O)c1ccccc1)c1ccc(F)cc1F,Mitochondrial import inner membrane translocase subunit TIM23,IC50,57870,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1370417,O=c1cc(C(F)F)oc2c1ccc1ccccc12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1989640,Cc1ccc2nc(CSc3ccc(S(=O)(=O)N4CCCC4)cn3)cc(=O)n2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1968721,Cc1noc(C)c1S(=O)(=O)Nc1ccc(-c2cn3c(n2)SCC3)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,66710,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1989875,NC(=O)C1CCN(c2nc(-c3cccnc3)nc3ccccc23)CC1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,69010,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1969580,N/C(=N\OC(=O)c1ccc(Cl)c(Cl)c1)c1cccc(CS(=O)(=O)c2ccccn2)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,66590,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1336933,Cc1nc2scc(C)n2c(=O)c1S(=O)(=O)Nc1ccc(N2CCN(S(C)(=O)=O)CC2)cc1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1991688,O=C(Nc1nc2c(s1)Cc1ccccc1-2)c1ccc(Br)s1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1992193,Nc1cccc(Oc2ccc(Oc3cccc(N)c3)cc2)c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,75630,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1970462,Cc1cccn2c(=O)cc(CSc3cc(C(=O)NC4CC4)c4ccccc4n3)nc12,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1869416,COc1ccc(Cl)cc1NS(=O)(=O)c1c(C)nc2scc(C)n2c1=O,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
CHEMBL1993417,Cc1ccc2nc(CS(=O)(=O)c3ncccc3Cl)cc(=O)n2c1,Mitochondrial import inner membrane translocase subunit TIM23,IC50,99000,PUBCHEM_BIOASSAY: SAR analysis of small molecule inhibitors of tim23-1 yeast via a luminescent assay. (Class of assay: confirmatory) ,inactive,CHEMBL1964046
